PRISM
=====

Version: 4.4.beta
Date: Mon Jan 22 18:07:00 IRST 2018
Hostname: astek.hpc.vru.ac.ir
Memory limits: cudd=1g, java(heap)=65.1g
Command line: prism ../examples/nonsparse/dns4.nm ../examples/nonsparse/qq.pctl -s -improvedmodpoliter2 -javamaxmem 75000m -maxiters 500000

Parsing model file "../examples/nonsparse/dns4.nm"...

Parsing properties file "../examples/nonsparse/qq.pctl"...

1 property:
(1) Pmax=? [ "PP" U "QQ" ]

Type:        MDP
Modules:     m1 m2 m3 m4 m5 
Variables:   s1 s2 s3 s4 s5 

---------------------------------------------------------------------

Model checking: Pmax=? [ "PP" U "QQ" ]

Building model...

Computing reachable states...

Reachability (BFS): 3 iterations in 0.00 seconds (average 0.000333, setup 0.00)

Time for model construction: 0.219 seconds.

Type:        MDP
States:      9216 (1 initial)
Transitions: 64159244
Choices:     20480

Transition matrix: 371675 nodes (58181 terminal), 64159244 minterms, vars: 14r/14c/3nd

Prob0A: 3 iterations in 0.00 seconds (average 0.000333, setup 0.00)

Prob1E: 8 iterations in 0.00 seconds (average 0.000250, setup 0.00)

yes = 8, no = 8, maybe = 9200

Computing remaining probabilities...
Engine: Sparse

Building sparse matrix (FOR POLICY ITERASION)... [n=9216, nc=20440, nnz=64082076, k=4] [733.5 MB]
Creating vector for yes...[72.0 KB]
Allocating iteration vectors... [2 x 72.0 KB]
TOTAL: [733.7 MB]

Starting iterations...
Iteration 404: max relative diff=0.006911, 5.41 sec so far
Iteration 808: max relative diff=0.002812, 10.84 sec so far
Iteration 1212: max relative diff=0.001703, 16.26 sec so far
Iteration 1616: max relative diff=0.001166, 21.65 sec so far
Iteration 2020: max relative diff=0.000878, 27.02 sec so far
Iteration 2424: max relative diff=0.000690, 32.37 sec so far
Iteration 2828: max relative diff=0.000567, 37.70 sec so far
Iteration 3232: max relative diff=0.000461, 42.99 sec so far
Iteration 3636: max relative diff=0.000389, 48.28 sec so far
Iteration 4040: max relative diff=0.000335, 53.50 sec so far
Iteration 4444: max relative diff=0.000369, 58.67 sec so far
Iteration 4848: max relative diff=0.000325, 63.93 sec so far
Iteration 5252: max relative diff=0.000337, 69.17 sec so far
Iteration 5656: max relative diff=0.000301, 74.42 sec so far
Iteration 6060: max relative diff=0.000270, 79.65 sec so far
Iteration 6464: max relative diff=0.000244, 84.89 sec so far
Iteration 6868: max relative diff=0.000222, 90.12 sec so far
Iteration 7272: max relative diff=0.000203, 95.36 sec so far
Iteration 7676: max relative diff=0.000186, 100.58 sec so far
Iteration 8080: max relative diff=0.000171, 105.81 sec so far
Iteration 8484: max relative diff=0.000157, 111.03 sec so far
Iteration 8888: max relative diff=0.000145, 116.24 sec so far
Iteration 9292: max relative diff=0.000134, 121.46 sec so far
Iteration 9696: max relative diff=0.000124, 126.68 sec so far
Iteration 10100: max relative diff=0.000115, 131.88 sec so far
Iteration 10504: max relative diff=0.000107, 137.09 sec so far
Iteration 10908: max relative diff=0.000099, 142.29 sec so far
Iteration 11312: max relative diff=0.000093, 147.51 sec so far
Iteration 11716: max relative diff=0.000086, 152.71 sec so far
Iteration 12120: max relative diff=0.000081, 157.92 sec so far
Iteration 12524: max relative diff=0.000076, 163.11 sec so far
Iteration 12928: max relative diff=0.000071, 168.32 sec so far
Iteration 13332: max relative diff=0.000066, 173.54 sec so far
Iteration 13736: max relative diff=0.000062, 178.75 sec so far
Iteration 14140: max relative diff=0.000058, 183.97 sec so far
Iteration 14544: max relative diff=0.000055, 189.19 sec so far
Iteration 14948: max relative diff=0.000052, 194.40 sec so far
Iteration 15352: max relative diff=0.000049, 199.60 sec so far
Iteration 15756: max relative diff=0.000046, 204.81 sec so far
Iteration 16160: max relative diff=0.000043, 210.01 sec so far
Iteration 16564: max relative diff=0.000041, 215.23 sec so far
Iteration 16968: max relative diff=0.000038, 220.46 sec so far
Iteration 17372: max relative diff=0.000036, 225.68 sec so far
Iteration 17776: max relative diff=0.000034, 230.90 sec so far
Iteration 18180: max relative diff=0.000032, 236.12 sec so far
Iteration 18584: max relative diff=0.000031, 241.33 sec so far
Iteration 18988: max relative diff=0.000029, 246.55 sec so far
Iteration 19392: max relative diff=0.000027, 251.77 sec so far
Iteration 19796: max relative diff=0.000026, 256.99 sec so far
Iteration 20200: max relative diff=0.000024, 262.21 sec so far
Iteration 20604: max relative diff=0.000023, 267.45 sec so far
Iteration 21008: max relative diff=0.000022, 272.67 sec so far
Iteration 21412: max relative diff=0.000021, 277.90 sec so far
Iteration 21816: max relative diff=0.000020, 283.14 sec so far
Iteration 22220: max relative diff=0.000018, 288.36 sec so far
