PRISM
=====

Version: 4.4.beta
Date: Thu Jan 25 16:30:15 IRST 2018
Hostname: astek.hpc.vru.ac.ir
Memory limits: cudd=1g, java(heap)=65.1g
Command line: prism ../examples/nonsparse/dns4.nm ../examples/nonsparse/qq.pctl -s -improvedmodpoliter -javamaxmem 75000m -maxiters 500000

Parsing model file "../examples/nonsparse/dns4.nm"...

Parsing properties file "../examples/nonsparse/qq.pctl"...

1 property:
(1) Pmax=? [ "PP" U "QQ" ]

Type:        MDP
Modules:     m1 m2 m3 m4 m5 
Variables:   s1 s2 s3 s4 s5 

---------------------------------------------------------------------

Model checking: Pmax=? [ "PP" U "QQ" ]

Building model...

Computing reachable states...

Reachability (BFS): 3 iterations in 0.00 seconds (average 0.000000, setup 0.00)

Time for model construction: 0.201 seconds.

Type:        MDP
States:      9216 (1 initial)
Transitions: 64159244
Choices:     20480

Transition matrix: 371675 nodes (58181 terminal), 64159244 minterms, vars: 14r/14c/3nd

Prob0A: 3 iterations in 0.00 seconds (average 0.000667, setup 0.00)

Prob1E: 8 iterations in 0.00 seconds (average 0.000250, setup 0.00)

yes = 8, no = 8, maybe = 9200

Computing remaining probabilities...
Engine: Sparse

Building sparse matrix (FOR POLICY ITERASION)... [n=9216, nc=20440, nnz=64082076, k=4] [733.5 MB]
Creating vector for yes...[72.0 KB]
Allocating iteration vectors... [2 x 72.0 KB]
TOTAL: [733.7 MB]

Starting iterations...
Iteration 406: max relative diff=0.019094, 9.94 sec so far
Iteration 609: max relative diff=0.005248, 15.12 sec so far
Iteration 812: max relative diff=0.003335, 20.29 sec so far
Iteration 1015: max relative diff=0.002491, 25.46 sec so far
Iteration 1218: max relative diff=0.001435, 30.64 sec so far
Iteration 1421: max relative diff=0.001236, 35.76 sec so far
Iteration 1624: max relative diff=0.002146, 40.87 sec so far
Iteration 1827: max relative diff=0.000802, 45.96 sec so far
Iteration 2030: max relative diff=0.000690, 51.19 sec so far
Iteration 2233: max relative diff=0.000604, 56.35 sec so far
Iteration 2436: max relative diff=0.000533, 61.43 sec so far
Iteration 2639: max relative diff=0.000476, 66.52 sec so far
Iteration 2842: max relative diff=0.000427, 71.58 sec so far
Iteration 3045: max relative diff=0.000486, 76.64 sec so far
Iteration 3248: max relative diff=0.000552, 81.74 sec so far
Iteration 3451: max relative diff=0.000324, 86.84 sec so far
Iteration 3654: max relative diff=0.000298, 91.91 sec so far
Iteration 3857: max relative diff=0.000275, 96.95 sec so far
Iteration 4060: max relative diff=0.000255, 102.01 sec so far
Iteration 4263: max relative diff=0.000237, 107.08 sec so far
Iteration 4466: max relative diff=0.000245, 112.18 sec so far
Iteration 4669: max relative diff=0.000297, 117.27 sec so far
Iteration 4872: max relative diff=0.000257, 122.35 sec so far
Iteration 5075: max relative diff=0.000235, 127.41 sec so far
Iteration 5278: max relative diff=0.000168, 132.51 sec so far
Iteration 5481: max relative diff=0.000218, 137.53 sec so far
Iteration 5684: max relative diff=0.000204, 142.53 sec so far
Iteration 5887: max relative diff=0.000181, 147.55 sec so far
Iteration 6293: max relative diff=0.000126, 157.58 sec so far
Iteration 6496: max relative diff=0.000119, 162.60 sec so far
Iteration 6699: max relative diff=0.000113, 167.66 sec so far
Iteration 7105: max relative diff=0.000101, 177.66 sec so far
Iteration 7511: max relative diff=0.000092, 187.70 sec so far
Iteration 7714: max relative diff=0.000087, 192.76 sec so far
Iteration 7917: max relative diff=0.000083, 197.85 sec so far
Iteration 8323: max relative diff=0.000075, 207.84 sec so far
Iteration 8526: max relative diff=0.000076, 212.96 sec so far
Iteration 8729: max relative diff=0.000069, 217.98 sec so far
Iteration 9135: max relative diff=0.000076, 227.93 sec so far
Iteration 9541: max relative diff=0.000058, 237.88 sec so far
Iteration 9744: max relative diff=0.000059, 242.91 sec so far
Iteration 9947: max relative diff=0.000053, 247.96 sec so far
Iteration 10150: max relative diff=0.000066, 253.07 sec so far
Iteration 10353: max relative diff=0.000049, 258.12 sec so far
Iteration 10759: max relative diff=0.000060, 268.07 sec so far
Iteration 10962: max relative diff=0.000043, 273.15 sec so far
Iteration 11368: max relative diff=0.000040, 283.15 sec so far
Iteration 11774: max relative diff=0.000037, 293.18 sec so far
Iteration 11977: max relative diff=0.000040, 298.21 sec so far
Iteration 12180: max relative diff=0.000034, 303.26 sec so far
Iteration 12586: max relative diff=0.000032, 313.21 sec so far
Iteration 12992: max relative diff=0.000029, 323.17 sec so far
Iteration 13195: max relative diff=0.000028, 328.18 sec so far
Iteration 13398: max relative diff=0.000027, 333.25 sec so far
Iteration 13804: max relative diff=0.000025, 343.21 sec so far
