PRISM
=====

Version: 4.4.dev
Date: Tue Jun 19 18:03:09 IRDT 2018
Hostname: sadegh-H81M-S2PH
Memory limits: cudd=1g, java(heap)=2.1g
Command line: prism dns192.nm dns.pctl -s -gs -maxiters 90050 -epsilon 1e-6 -javamaxmem 2400m

Parsing model file "dns192.nm"...

Parsing properties file "dns.pctl"...

1 property:
(1) Pmax=? [ "pp" U "qq" ]

Type:        MDP
Modules:     m1 m2 m3 
Variables:   s1 s2 s3 

---------------------------------------------------------------------

Model checking: Pmax=? [ "pp" U "qq" ]

Building model...

Computing reachable states...

Reachability (BFS): 4 iterations in 0.01 seconds (average 0.002250, setup 0.00)

Time for model construction: 17.097 seconds.

Type:        MDP
States:      11200 (1 initial)
Transitions: 20779457
Choices:     56000

Transition matrix: 18166291 nodes (667768 terminal), 20779457 minterms, vars: 15r/15c/5nd

Prob0A: 3 iterations in 0.01 seconds (average 0.003000, setup 0.00)

Prob1E: 23 iterations in 0.05 seconds (average 0.002261, setup 0.00)

yes = 10, no = 36, maybe = 11154

Computing remaining probabilities...
Engine: Sparse

Building sparse matrix(FOR GS)... [n=11200, nc=55770, nnz=20692855, k=5] [237.1 MB]
Creating vector for yes...[87.5 KB]
Allocating iteration vectors... [2 x 87.5 KB]
TOTAL: [237.3 MB]

Starting iterations...
Iteration 141: max relative diff=0.001777, 5.02 sec so far
Iteration 282: max relative diff=0.000584, 10.05 sec so far
Iteration 423: max relative diff=0.000328, 15.07 sec so far
Iteration 564: max relative diff=0.000212, 20.08 sec so far
Iteration 705: max relative diff=0.000145, 25.09 sec so far
Iteration 846: max relative diff=0.000107, 30.11 sec so far
Iteration 987: max relative diff=0.000083, 35.14 sec so far
Iteration 1128: max relative diff=0.000067, 40.16 sec so far
Iteration 1269: max relative diff=0.000056, 45.17 sec so far
Iteration 1410: max relative diff=0.000048, 50.19 sec so far
Iteration 1551: max relative diff=0.000041, 55.21 sec so far
Iteration 1692: max relative diff=0.000036, 60.24 sec so far
Iteration 1833: max relative diff=0.000032, 65.26 sec so far
Iteration 1974: max relative diff=0.000028, 70.28 sec so far
Iteration 2115: max relative diff=0.000025, 75.29 sec so far
Iteration 2256: max relative diff=0.000023, 80.31 sec so far
Iteration 2397: max relative diff=0.000021, 85.32 sec so far
Iteration 2538: max relative diff=0.000019, 90.34 sec so far
Iteration 2679: max relative diff=0.000017, 95.35 sec so far
Iteration 2820: max relative diff=0.000016, 100.37 sec so far
Iteration 2961: max relative diff=0.000015, 105.39 sec so far
Iteration 3102: max relative diff=0.000014, 110.42 sec so far
Iteration 3243: max relative diff=0.000013, 115.45 sec so far
Iteration 3384: max relative diff=0.000012, 120.46 sec so far
Iteration 3525: max relative diff=0.000011, 125.48 sec so far
Iteration 3666: max relative diff=0.000010, 130.51 sec so far
Iteration 3807: max relative diff=0.000010, 135.54 sec so far
Iteration 3948: max relative diff=0.000009, 140.57 sec so far
Iteration 4089: max relative diff=0.000009, 145.59 sec so far
Iteration 4230: max relative diff=0.000008, 150.63 sec so far
Iteration 4371: max relative diff=0.000008, 155.64 sec so far
Iteration 4512: max relative diff=0.000007, 160.65 sec so far
Iteration 4653: max relative diff=0.000007, 165.67 sec so far
Iteration 4794: max relative diff=0.000007, 170.68 sec so far
Iteration 4935: max relative diff=0.000006, 175.70 sec so far
Iteration 5076: max relative diff=0.000006, 180.73 sec so far
Iteration 5217: max relative diff=0.000006, 185.76 sec so far
Iteration 5358: max relative diff=0.000006, 190.77 sec so far
Iteration 5499: max relative diff=0.000005, 195.79 sec so far
Iteration 5640: max relative diff=0.000005, 200.81 sec so far
Iteration 5781: max relative diff=0.000005, 205.84 sec so far
Iteration 5922: max relative diff=0.000005, 210.85 sec so far
Iteration 6063: max relative diff=0.000005, 215.88 sec so far
Iteration 6204: max relative diff=0.000004, 220.90 sec so far
Iteration 6345: max relative diff=0.000004, 225.93 sec so far
Iteration 6486: max relative diff=0.000004, 230.95 sec so far
Iteration 6627: max relative diff=0.000004, 235.97 sec so far
Iteration 6768: max relative diff=0.000004, 241.01 sec so far
Iteration 6909: max relative diff=0.000004, 246.03 sec so far
Iteration 7050: max relative diff=0.000004, 251.05 sec so far
Iteration 7191: max relative diff=0.000004, 256.07 sec so far
Iteration 7332: max relative diff=0.000003, 261.09 sec so far
Iteration 7473: max relative diff=0.000003, 266.11 sec so far
Iteration 7614: max relative diff=0.000003, 271.13 sec so far
Iteration 7755: max relative diff=0.000003, 276.15 sec so far
Iteration 7896: max relative diff=0.000003, 281.16 sec so far
Iteration 8037: max relative diff=0.000003, 286.18 sec so far
