PRISM
=====

Version: 4.4.dev
Date: Sat Jun 16 21:46:54 IRDT 2018
Hostname: sadegh-H81M-S2PH
Memory limits: cudd=1g, java(heap)=2.1g
Command line: prism dns28.nm dns.pctl -s -gs -maxiters 90050 -epsilon 1e-6 -javamaxmem 2400m

Parsing model file "dns28.nm"...

Parsing properties file "dns.pctl"...

1 property:
(1) Pmax=? [ "pp" U "qq" ]

Type:        MDP
Modules:     m1 m2 m3 
Variables:   s1 s2 s3 

---------------------------------------------------------------------

Model checking: Pmax=? [ "pp" U "qq" ]

Building model...

Computing reachable states...

Reachability (BFS): 2 iterations in 0.00 seconds (average 0.000000, setup 0.00)

Time for model construction: 19.343 seconds.

Type:        MDP
States:      7200 (1 initial)
Transitions: 256107756
Choices:     43200

Transition matrix: 17628445 nodes (602126 terminal), 256107756 minterms, vars: 15r/15c/6nd

Prob0A: 2 iterations in 0.01 seconds (average 0.002500, setup 0.00)

Prob1E: 4 iterations in 0.00 seconds (average 0.000500, setup 0.00)

yes = 10, no = 15, maybe = 7175

Computing remaining probabilities...
Engine: Sparse

Building sparse matrix(FOR GS)... [n=7200, nc=43050, nnz=255227773, k=6] [2.9 GB]
Creating vector for yes...[56.2 KB]
Allocating iteration vectors... [2 x 56.2 KB]
TOTAL: [2.9 GB]

Starting iterations...
Iteration 12: max relative diff=0.082394, 5.11 sec so far
Iteration 24: max relative diff=0.034351, 10.22 sec so far
Iteration 36: max relative diff=0.019802, 15.34 sec so far
Iteration 48: max relative diff=0.012995, 20.45 sec so far
Iteration 60: max relative diff=0.009157, 25.59 sec so far
Iteration 72: max relative diff=0.006772, 30.70 sec so far
Iteration 84: max relative diff=0.005186, 35.81 sec so far
Iteration 96: max relative diff=0.004089, 40.92 sec so far
Iteration 108: max relative diff=0.003297, 46.03 sec so far
Iteration 120: max relative diff=0.002709, 51.15 sec so far
Iteration 132: max relative diff=0.002266, 56.26 sec so far
Iteration 144: max relative diff=0.001922, 61.37 sec so far
Iteration 156: max relative diff=0.001647, 66.48 sec so far
Iteration 168: max relative diff=0.001426, 71.59 sec so far
Iteration 180: max relative diff=0.001245, 76.70 sec so far
Iteration 192: max relative diff=0.001096, 81.81 sec so far
Iteration 204: max relative diff=0.000970, 86.92 sec so far
Iteration 216: max relative diff=0.000863, 92.04 sec so far
Iteration 228: max relative diff=0.000771, 97.14 sec so far
Iteration 240: max relative diff=0.000692, 102.26 sec so far
Iteration 252: max relative diff=0.000625, 107.37 sec so far
Iteration 264: max relative diff=0.000565, 112.48 sec so far
Iteration 276: max relative diff=0.000513, 117.59 sec so far
Iteration 288: max relative diff=0.000467, 122.70 sec so far
Iteration 300: max relative diff=0.000426, 127.82 sec so far
Iteration 312: max relative diff=0.000389, 132.93 sec so far
Iteration 324: max relative diff=0.000357, 138.04 sec so far
Iteration 336: max relative diff=0.000327, 143.16 sec so far
Iteration 348: max relative diff=0.000301, 148.26 sec so far
Iteration 360: max relative diff=0.000277, 153.38 sec so far
Iteration 372: max relative diff=0.000256, 158.50 sec so far
Iteration 384: max relative diff=0.000236, 163.61 sec so far
Iteration 396: max relative diff=0.000219, 168.73 sec so far
Iteration 408: max relative diff=0.000202, 173.84 sec so far
Iteration 420: max relative diff=0.000188, 178.96 sec so far
Iteration 432: max relative diff=0.000174, 184.07 sec so far
Iteration 444: max relative diff=0.000161, 189.19 sec so far
Iteration 456: max relative diff=0.000150, 194.31 sec so far
Iteration 468: max relative diff=0.000139, 199.43 sec so far
Iteration 480: max relative diff=0.000130, 204.54 sec so far
Iteration 492: max relative diff=0.000121, 209.66 sec so far
Iteration 504: max relative diff=0.000113, 214.78 sec so far
Iteration 516: max relative diff=0.000105, 219.89 sec so far
Iteration 528: max relative diff=0.000098, 225.00 sec so far
Iteration 540: max relative diff=0.000091, 230.11 sec so far
Iteration 552: max relative diff=0.000085, 235.22 sec so far
Iteration 564: max relative diff=0.000079, 240.33 sec so far
Iteration 576: max relative diff=0.000074, 245.43 sec so far
Iteration 588: max relative diff=0.000069, 250.54 sec so far
Iteration 600: max relative diff=0.000065, 255.65 sec so far
Iteration 612: max relative diff=0.000061, 260.76 sec so far
Iteration 624: max relative diff=0.000057, 265.87 sec so far
Iteration 636: max relative diff=0.000053, 270.99 sec so far
Iteration 648: max relative diff=0.000050, 276.10 sec so far
Iteration 660: max relative diff=0.000046, 281.21 sec so far
Iteration 672: max relative diff=0.000043, 286.32 sec so far
Iteration 684: max relative diff=0.000041, 291.43 sec so far
Iteration 696: max relative diff=0.000038, 296.55 sec so far
Iteration 708: max relative diff=0.000036, 301.66 sec so far
